scenario,method,outcome,y,coverage,mean_length
2,S-Learner + BB,Y(0),-2.76,0.99,0.09487759009003639
2,S-Learner + BB,Y(0),-2.39,1.0,0.19470331326127052
2,S-Learner + BB,Y(0),-2.03,0.945,0.24156666293740273
2,S-Learner + BB,Y(0),-1.66,0.005,0.18604376986622811
2,S-Learner + BB,Y(0),-1.29,0.995,0.13256254956126212
2,S-Learner + BB,Y(0),-0.92,0.005,0.11136812955141068
2,S-Learner + BB,Y(0),-0.55,0.0,0.09585510224103927
2,S-Learner + BB,Y(0),-0.18,0.0,0.08439462304115296
2,S-Learner + BB,Y(0),0.18,0.0,0.07884477842599154
2,S-Learner + BB,Y(0),0.55,0.995,0.07797479458153248
2,S-Learner + BB,Y(0),0.92,0.945,0.07941581167280674
2,S-Learner + BB,Y(0),1.29,0.005,0.07949618211016059
2,S-Learner + BB,Y(0),1.66,0.005,0.07206254035234451
2,S-Learner + BB,Y(0),2.03,0.005,0.05399638100527227
2,S-Learner + BB,Y(0),2.39,0.005,0.0317809336213395
2,S-Learner + BB,Y(0),2.76,0.005,0.014011551098665222
2,S-Learner + BB,Y(0),3.13,0.99,0.0040777718895697035
2,S-Learner + BB,Y(0),3.5,1.0,0.0006174231215118198
2,S-Learner + Logistic,Y(1),-3.5,1.0,0.025041175652295352
2,S-Learner + Logistic,Y(1),-3.13,1.0,0.08839444488286972
2,S-Learner + Logistic,Y(1),-2.76,1.0,0.16706261593848468
2,S-Learner + Logistic,Y(1),-2.39,1.0,0.20354934789240361
2,S-Learner + Logistic,Y(1),-2.03,1.0,0.19326240815222262
2,S-Learner + Logistic,Y(1),-1.66,1.0,0.1603886444494128
2,S-Learner + Logistic,Y(1),-1.29,1.0,0.12369741931557655
2,S-Learner + Logistic,Y(1),-0.92,1.0,0.09656391859054565
2,S-Learner + Logistic,Y(1),-0.55,0.995,0.0793296654522419
2,S-Learner + Logistic,Y(1),-0.18,0.995,0.06997878316789866
2,S-Learner + Logistic,Y(1),0.18,1.0,0.06823089528828859
2,S-Learner + Logistic,Y(1),0.55,1.0,0.07490187205374241
2,S-Learner + Logistic,Y(1),0.92,1.0,0.08776470072567463
2,S-Learner + Logistic,Y(1),1.29,1.0,0.10933005556464195
2,S-Learner + Logistic,Y(1),1.66,1.0,0.15138595156371593
2,S-Learner + Logistic,Y(1),2.03,1.0,0.2345005202293396
2,S-Learner + Logistic,Y(1),2.39,1.0,0.33669310361146926
2,S-Learner + Logistic,Y(1),2.76,1.0,0.29547965981066227
2,S-Learner + Logistic,Y(1),3.13,1.0,0.05341219215653837
2,S-Learner + Logistic,Y(1),3.5,0.38,0.0011280136733694236
2,S-Learner + Logistic,Y(0),-3.5,0.0,0.01729370635934174
2,S-Learner + Logistic,Y(0),-3.13,0.0,0.0418803012277931
2,S-Learner + Logistic,Y(0),-2.76,0.995,0.09345919635146856
2,S-Learner + Logistic,Y(0),-2.39,1.0,0.19221599489450455
2,S-Learner + Logistic,Y(0),-2.03,0.93,0.24176580727100372
2,S-Learner + Logistic,Y(0),-1.66,0.015,0.1871824300289154
2,S-Learner + Logistic,Y(0),-1.29,0.995,0.13362497761845588
2,S-Learner + Logistic,Y(0),-0.92,0.015,0.11295734897255898
2,S-Learner + Logistic,Y(0),-0.55,0.0,0.09628866285085678
2,S-Learner + Logistic,Y(0),-0.18,0.0,0.08543104384094477
2,S-Learner + Logistic,Y(0),0.18,0.0,0.07963622249662876
2,S-Learner + Logistic,Y(0),0.55,0.995,0.07848757527768611
2,S-Learner + Logistic,Y(0),0.92,0.94,0.07975593704730272
2,S-Learner + Logistic,Y(0),1.29,0.005,0.07932747606188059
2,S-Learner + Logistic,Y(0),1.66,0.005,0.0723916861973703
2,S-Learner + Logistic,Y(0),2.03,0.005,0.054540143916383385
2,S-Learner + Logistic,Y(0),2.39,0.005,0.03247097244486213
2,S-Learner + Logistic,Y(0),2.76,0.015,0.01432003653026186
2,S-Learner + Logistic,Y(0),3.13,0.975,0.004059404351282865
2,S-Learner + Logistic,Y(0),3.5,1.0,0.0006102172951068497
2,T-Learner + BB,Y(1),-3.5,1.0,0.01611987916752696
2,T-Learner + BB,Y(1),-3.13,1.0,0.08079507128335535
2,T-Learner + BB,Y(1),-2.76,1.0,0.17203392930328845
2,T-Learner + BB,Y(1),-2.39,1.0,0.17207195669412612
2,T-Learner + BB,Y(1),-2.03,0.56,0.14293959561735392
2,T-Learner + BB,Y(1),-1.66,0.805,0.12065271243453025
2,T-Learner + BB,Y(1),-1.29,0.995,0.10622996233403682
2,T-Learner + BB,Y(1),-0.92,0.995,0.09533699121326208
2,T-Learner + BB,Y(1),-0.55,0.995,0.08622668769210577
2,T-Learner + BB,Y(1),-0.18,1.0,0.07830377411097288
2,T-Learner + BB,Y(1),0.18,1.0,0.07345210984349251
2,T-Learner + BB,Y(1),0.55,1.0,0.0715180205181241
2,T-Learner + BB,Y(1),0.92,1.0,0.07405010953545571
2,T-Learner + BB,Y(1),1.29,1.0,0.08645502552390098
2,T-Learner + BB,Y(1),1.66,1.0,0.11856906592845917
2,T-Learner + BB,Y(1),2.03,1.0,0.20426917150616647
2,T-Learner + BB,Y(1),2.39,1.0,0.33822396740317345
2,T-Learner + BB,Y(1),2.76,1.0,0.3071104844659567
2,T-Learner + BB,Y(1),3.13,1.0,0.045409059915691614
2,T-Learner + BB,Y(1),3.5,0.995,0.004088267340266611
2,T-Learner + BB,Y(0),-3.5,0.835,0.0014926942333113402
2,T-Learner + BB,Y(0),-3.13,0.995,0.01366599597968161
2,T-Learner + BB,Y(0),-2.76,1.0,0.07807849209755659
2,T-Learner + BB,Y(0),-2.39,1.0,0.20368953548371793
2,T-Learner + BB,Y(0),-2.03,0.95,0.2400970508158207
2,T-Learner + BB,Y(0),-1.66,0.005,0.18452496349811554
2,T-Learner + BB,Y(0),-1.29,0.035,0.14443903237581254
2,T-Learner + BB,Y(0),-0.92,1.0,0.13194891348481178
2,T-Learner + BB,Y(0),-0.55,0.01,0.13263866163790225
2,T-Learner + BB,Y(0),-0.18,0.045,0.13674562431871892
2,T-Learner + BB,Y(0),0.18,0.82,0.13423780720680953
2,T-Learner + BB,Y(0),0.55,0.99,0.11263070210814476
2,T-Learner + BB,Y(0),0.92,0.995,0.07705523107200861
2,T-Learner + BB,Y(0),1.29,0.98,0.04239626226015389
2,T-Learner + BB,Y(0),1.66,0.985,0.019056919654831292
2,T-Learner + BB,Y(0),2.03,0.965,0.0073357059224508706
2,T-Learner + BB,Y(0),2.39,0.945,0.0024253305527963676
2,T-Learner + BB,Y(0),2.76,0.935,0.000682418591241003
2,T-Learner + BB,Y(0),3.13,0.945,0.00016554900405026273
2,T-Learner + BB,Y(0),3.5,0.96,3.60945532020196e-05
